mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter577, time differene: 0.00044155120849609375
iter578, time differene: 0.0033369064331054688
iter579, time differene: 0.008226156234741211
iter580, time differene: 0.010799407958984375
iter581, time differene: 0.0006928443908691406
iter582, time differene: 0.002886533737182617
iter583, time differene: 0.0005748271942138672
iter584, time differene: 0.0030155181884765625
iter585, time differene: 0.0005068778991699219
iter586, time differene: 0.027415037155151367
iter587, time differene: 0.0005550384521484375
iter588, time differene: 0.0008456707000732422
iter589, time differene: 0.0005645751953125
iter590, time differene: 0.0005540847778320312
iter591, time differene: 0.0004947185516357422
iter592, time differene: 0.0006608963012695312
iter593, time differene: 0.0015194416046142578
iter594, time differene: 0.01189279556274414
iter595, time differene: 0.0004181861877441406
iter596, time differene: 0.012450218200683594
iter597, time differene: 0.00045990943908691406
iter598, time differene: 0.010208606719970703
iter599, time differene: 0.0009546279907226562
iter600, time differene: 0.009615421295166016
iter601, time differene: 0.007032871246337891
iter602, time differene: 0.00034236907958984375
iter603, time differene: 0.000732421875
iter604, time differene: 0.00261688232421875
iter605, time differene: 0.00038051605224609375
iter606, time differene: 0.030729293823242188
iter607, time differene: 0.0007498264312744141
iter608, time differene: 0.0030689239501953125
iter609, time differene: 0.0005621910095214844
iter610, time differene: 0.0005252361297607422
iter611, time differene: 0.0006520748138427734
iter612, time differene: 0.0006389617919921875
iter613, time differene: 0.0006296634674072266
iter614, time differene: 0.002092599868774414
iter615, time differene: 0.00031447410583496094
iter616, time differene: 0.009896993637084961
iter617, time differene: 0.0004994869232177734
iter618, time differene: 0.0005807876586914062
iter619, time differene: 0.005303859710693359
iter620, time differene: 0.017827749252319336
iter621, time differene: 0.0003895759582519531
iter622, time differene: 0.00031757354736328125
iter623, time differene: 0.00031828880310058594
iter624, time differene: 0.004159688949584961
iter625, time differene: 0.0005908012390136719
iter626, time differene: 0.019247770309448242
iter627, time differene: 0.0003218650817871094
iter628, time differene: 0.003050088882446289
iter629, time differene: 0.007970809936523438
iter630, time differene: 0.00043129920959472656
iter631, time differene: 0.0003669261932373047
iter632, time differene: 0.0003421306610107422
iter633, time differene: 0.0003631114959716797
iter634, time differene: 0.0004868507385253906
iter635, time differene: 0.0005908012390136719
iter636, time differene: 0.018386125564575195
iter637, time differene: 0.0005230903625488281
iter638, time differene: 0.0005393028259277344
iter639, time differene: 0.014148712158203125
iter640, time differene: 0.0007042884826660156
iter641, time differene: 0.0006036758422851562
iter642, time differene: 0.00039315223693847656
iter643, time differene: 0.0004961490631103516
iter644, time differene: 0.002427339553833008
iter645, time differene: 0.0005602836608886719
iter646, time differene: 0.0097198486328125
iter647, time differene: 0.0004127025604248047
iter648, time differene: 0.00840306282043457
iter649, time differene: 0.0036134719848632812
iter650, time differene: 0.008187532424926758
iter651, time differene: 0.0003936290740966797
iter652, time differene: 0.0003247261047363281
